MaskedIndex,Source,Target,Probability
0,0,2,0.261404037
1,0,10,0.407321304
2,0,12,0.336444855
3,0,14,0.436274707
4,0,20,0.4822568
5,0,39,0.606985807
6,0,43,0.519121408
7,0,49,0.517944932
8,0,85,0.072740301
9,0,87,0.368198276
10,0,96,0.598088503
11,0,97,0.634995401
12,0,113,0.423107922
13,0,125,0.24976705
14,0,131,0.306860149
15,0,133,0.292009741
16,0,143,0.657355666
17,0,159,0.411919892
18,0,164,0.401509732
19,0,168,0.376895547
20,0,169,0.463142335
21,0,172,0.694256544
22,0,199,0.567419231
23,0,200,0.470923543
24,0,202,0.628362298
25,0,214,0.461437643
26,0,224,0.611499608
27,0,231,0.550836325
28,0,240,0.503510475
29,0,241,0.649523318
30,0,250,0.393961042
31,0,260,0.407613516
32,0,264,0.354816973
33,0,281,0.115346216
34,0,304,0.723330915
35,0,306,0.54712671
36,0,307,0.218138531
37,0,309,0.181555957
38,0,346,0.598989904
39,0,358,0.592590332
40,0,359,0.472357929
41,0,367,0.739822805
42,0,370,0.577516913
43,0,373,0.557639241
44,0,399,0.242481485
45,0,411,0.525269032
46,0,417,0.621746004
47,0,425,0.580287278
48,0,428,0.694013476
49,0,437,0.706200063
50,0,446,0.519926667
51,0,452,0.228436291
52,0,460,0.377216011
53,0,466,0.447379917
54,0,470,0.417682737
55,0,489,0.50589627
56,0,517,0.579111934
57,0,540,0.233765438
58,0,550,0.669446707
59,0,552,0.533560932
60,0,554,0.79663986
61,0,558,0.663339674
62,0,559,0.536195815
63,0,621,0.561064303
64,0,622,0.616731703
65,0,649,0.751863837
66,0,657,0.611547709
67,0,682,0.770467103
68,0,684,0.339537889
69,0,689,0.659669816
70,0,693,0.692339063
71,0,725,0.505942583
72,0,726,0.60350436
73,0,731,0.481323987
74,0,746,0.814515531
75,0,747,0.321053714
76,0,761,0.360587835
77,0,790,0.703112543
78,0,927,0.336048663
79,0,943,0.557255983
80,0,962,0.681168079
81,0,983,0.738106906
82,0,984,0.238448322
83,0,1004,0.445021063
84,0,1013,0.730837405
85,0,1045,0.621043444
86,0,1064,0.412380904
87,0,1078,0.301248342
88,0,1081,0.703673124
89,0,1085,0.302363604
90,0,1120,0.749123871
91,0,1153,0.662536383
92,0,1170,0.535880387
93,0,1173,0.262426347
94,0,1180,0.671936035
95,0,1244,0.770457983
96,0,1247,0.242810622
97,0,1252,0.638922274
98,0,1258,0.302852899
99,0,1289,0.744702697
100,0,1323,0.460691899
101,0,1328,0.636738718
102,0,1331,0.727594554
103,0,1356,0.333804697
104,0,1364,0.621224046
105,0,1408,0.281512588
106,0,1465,0.4080576
107,0,1495,0.573351622
108,0,1496,0.447889388
109,0,1510,0.699865401
110,0,1521,0.790771306
111,0,1522,0.759205878
112,0,1571,0.800363421
113,0,1580,0.595890403
114,0,1608,0.648928106
115,0,1612,0.656796455
116,0,1617,0.495088667
117,0,1618,0.59654814
118,0,1622,0.702493072
119,0,1629,0.304828823
120,0,1683,0.688288152
121,0,1711,0.531929076
122,0,1715,0.469612658
123,0,1735,0.654134393
124,0,1748,0.589490652
125,0,1756,0.422277302
126,0,1791,0.34340775
127,0,1827,0.480909884
128,0,1885,0.766794324
129,0,1886,0.635662615
130,0,1887,0.708092272
131,0,1888,0.792536139
132,0,1889,0.61437273
133,0,1901,0.755855203
134,0,1914,0.530134737
135,0,1935,0.698046327
136,0,1961,0.717647791
137,0,1962,0.845843554
138,0,1966,0.741978824
139,0,2031,0.67799598
140,0,2041,0.610216141
141,0,2042,0.572072685
142,0,2045,0.555189073
143,0,2056,0.57962507
144,0,2057,0.60415417
145,0,2058,0.547391355
146,0,2068,0.728281558
147,0,2090,0.68679148
148,0,2091,0.714520216
149,0,2101,0.550198019
150,0,2125,0.575314522
151,0,2167,0.230379105
152,0,2208,0.682635784
153,0,2210,0.603042364
154,0,2211,0.463851959
155,0,2212,0.434168696
156,0,2215,0.610001087
157,0,2254,0.222884551
158,0,2266,0.793302834
159,0,2267,0.832035422
160,0,2269,0.686051428
161,0,2282,0.644833207
162,0,2317,0.442283928
163,0,2333,0.776209295
164,0,2360,0.547178328
165,0,2489,0.694017112
166,0,2628,0.776528418
167,0,2639,0.427288175
168,0,2675,0.536645889
169,0,2679,0.705947459
170,0,2703,0.796457946
171,0,2744,0.814144373
172,0,2745,0.6768291
173,0,2760,0.380309492
174,0,2773,0.419859499
175,0,2777,0.769397378
176,0,2788,0.524648786
177,0,2826,0.168397978
178,0,2839,0.437614769
179,0,2840,0.462937295
180,0,2901,0.626698256
181,0,2945,0.769619107
182,0,2959,0.664474189
183,0,2980,0.695337534
184,0,2981,0.831813753
185,0,3039,0.804971516
186,0,3058,0.76946342
187,0,3076,0.719605088
188,0,3089,0.807958484
189,0,3125,0.544800282
190,0,3309,0.48033461
191,0,3315,0.485701442
192,0,3449,0.666605234
193,0,3479,0.445025414
194,0,3495,0.579766452
195,0,3511,0.743443429
196,0,3512,0.769887209
197,0,3539,0.621697307
198,0,3548,0.532118261
199,0,3578,0.24192901
200,0,3606,0.715098202
201,0,3618,0.653674126
202,0,3669,0.807407022
203,0,3679,0.506055892
204,0,3680,0.571713984
205,0,3727,0.34842369
206,0,3741,0.348006278
207,0,3816,0.631029308
208,0,3845,0.362787187
209,0,3851,0.813099086
210,0,3863,0.242713794
211,0,3875,0.667186618
212,0,3884,0.624641478
213,0,3909,0.765391827
214,0,3910,0.721411169
215,0,3923,0.704113126
216,0,4001,0.334735453
217,0,4032,0.628148496
218,0,4033,0.612186432
219,0,4048,0.428150326
220,0,4059,0.655107439
221,0,4119,0.235867903
222,0,4151,0.348112404
223,0,4163,0.70479995
224,0,4164,0.838245511
225,0,4176,0.749743581
226,0,4184,0.659151018
227,0,4193,0.739949644
228,0,4223,0.291031301
229,0,4282,0.637684405
230,0,4283,0.622160256
231,0,4284,0.613122225
232,0,4290,0.359776884
233,0,4294,0.729980409
234,0,4320,0.50373292
235,0,4346,0.623728216
236,0,4353,0.39026621
237,0,4397,0.745536923
238,0,4398,0.483615905
239,0,4412,0.753173888
240,0,4452,0.578184009
241,0,4492,0.763631403
242,0,4493,0.565233409
243,0,4539,0.853389144
244,0,4602,0.816719115
245,0,4612,0.608113468
246,0,4623,0.512890279
247,0,4630,0.566863716
248,0,4645,0.627358556
249,0,4646,0.637099922
250,0,4660,0.891926706
251,0,4693,0.682674229
252,0,4740,0.788742542
253,0,4758,0.800039589
254,0,4837,0.3442716
255,0,4862,0.827912152
256,0,4887,0.154802218
257,0,4891,0.187577397
258,0,4908,0.623332977
259,0,4932,0.792413473
260,0,4933,0.779615283
261,0,4939,0.797179699
262,0,5005,0.595063925
263,0,5031,0.279367298
264,0,5038,0.808232367
265,0,5039,0.791385233
266,0,5049,0.608913302
267,0,5050,0.716073811
268,0,5080,0.575347841
269,0,5177,0.721284926
270,0,5215,0.34691292
271,0,5261,0.779922783
272,0,5271,0.549596012
273,0,5317,0.525969028
274,0,5327,0.347668588
275,0,5362,0.804718852
276,0,5368,0.663475633
277,0,5505,0.776781321
278,0,5655,0.556856632
279,0,5684,0.707425952
280,0,5709,0.720805049
281,0,5734,0.763760924
282,0,5739,0.632384837
283,0,5789,0.750273645
284,0,5790,0.758105159
285,0,5791,0.664976478
286,0,5918,0.738765061
287,0,5919,0.715064287
288,0,5925,0.530895054
289,0,6059,0.768541574
290,0,6060,0.851279974
291,0,6080,0.497054964
292,0,6081,0.46178928
293,0,6082,0.49879995
294,0,6101,0.620802104
295,0,6105,0.510539651
296,0,6171,0.528508425
297,0,6172,0.496128082
298,0,6242,0.58361882
299,0,6243,0.727824807
300,0,6296,0.751072288
301,0,6365,0.638172626
302,0,6437,0.464381933
303,0,6577,0.540990412
304,0,6578,0.54429996
305,0,6652,0.622563958
306,0,6774,0.604410827
307,0,6818,0.3592076
308,0,6839,0.550395608
309,0,6932,0.174732253
310,0,6933,0.767930448
311,0,7062,0.733353615
312,0,7131,0.613069654
313,0,7158,0.745286703
314,0,7159,0.739475667
315,0,7160,0.771721482
316,0,7247,0.786748886
317,0,7311,0.761180699
318,0,7317,0.551052094
319,0,7318,0.822644532
320,0,7322,0.754162252
321,0,7323,0.767940342
322,0,7506,0.588721752
323,0,7576,0.748550177
324,0,7630,0.798279107
325,0,7699,0.304455459
326,0,7714,0.652278841
327,0,7722,0.743458271
328,0,7744,0.715856612
329,0,7747,0.598520279
330,0,7766,0.459520698
331,0,7830,0.788597703
332,0,7878,0.230269268
333,0,7879,0.320673943
334,0,7971,0.795184195
335,0,8007,0.65804863
336,0,8012,0.545238078
337,0,8106,0.455895126
338,0,8158,0.758809686
339,0,8184,0.753318906
340,0,8295,0.446646959
341,0,8336,0.584084511
342,0,8337,0.390224159
343,0,8340,0.721203148
344,0,8366,0.897696555
345,0,8368,0.773657441
346,0,8447,0.768671691
347,0,8489,0.785871506
348,0,8490,0.807020307
349,0,8524,0.744699597
350,0,8525,0.632641852
351,0,8526,0.683284223
352,0,8623,0.708566129
353,0,8624,0.625112951
354,0,8639,0.393252611
355,0,8660,0.69243288
356,0,8667,0.823727548
357,0,8736,0.812702715
358,0,8752,0.277137488
359,0,8898,0.688602269
360,0,8945,0.663520873
361,0,9027,0.456544697
362,0,9096,0.641335189
363,0,9127,0.446691066
364,0,9128,0.581401587
365,0,9175,0.642874479
366,0,9204,0.805265844
367,0,9205,0.821228385
368,0,9230,0.632053137
369,0,9231,0.750096023
370,0,9232,0.62312901
371,0,9327,0.764050186
372,0,9328,0.76565665
373,0,9341,0.585379779
374,0,9365,0.727220535
375,0,9366,0.471033126
376,0,9437,0.651224911
377,0,9444,0.826304257
378,0,9491,0.800390601
379,0,9542,0.71610409
380,0,9543,0.651782632
381,0,9581,0.754074275
382,0,9582,0.647764981
383,0,9583,0.735019028
384,0,9584,0.780406237
385,0,9585,0.721765757
386,0,9586,0.766394317
387,0,9610,0.750352204
388,0,9611,0.669702291
389,0,9613,0.66808933
390,0,9728,0.815687597
391,0,9807,0.484237671
392,0,9857,0.659692347
393,0,9923,0.663886487
394,0,9967,0.607679248
395,0,10035,0.785264015
396,0,10036,0.76372999
397,0,10052,0.815592289
398,0,10091,0.545660019
399,0,10092,0.723054171
400,0,10107,0.786273658
401,0,10231,0.502545893
402,0,10251,0.642753601
403,0,10316,0.444638103
404,0,10317,0.690726399
405,0,10318,0.488436729
406,0,10328,0.629186451
407,0,10693,0.736588001
408,0,10694,0.492518634
409,0,10891,0.822194815
410,0,10902,0.406780332
411,0,11017,0.879010677
412,0,11373,0.776817203
413,0,11399,0.698571086
414,0,11529,0.735064149
415,0,11669,0.779710472
416,0,11826,0.807061851
417,0,11944,0.738097608
418,0,12008,0.695293069
419,0,12041,0.521178126
420,0,12054,0.546687663
421,0,12055,0.402180642
422,0,12417,0.653090835
423,0,12418,0.549570084
424,0,12419,0.540769041
425,0,12450,0.796054423
426,0,12483,0.795758009
427,0,12709,0.574627399
428,0,12737,0.818202019
429,0,13063,0.705573678
430,0,13064,0.724121332
431,0,13268,0.5381127
432,0,13271,0.795195043
433,0,13272,0.848595202
434,0,13273,0.804074049
435,0,13293,0.688494802
436,0,13445,0.68953222
437,0,13639,0.834732771
438,0,13640,0.688289225
439,0,13684,0.494724631
440,0,13685,0.580501735
441,0,13686,0.641133785
442,0,13712,0.546579897
443,0,13713,0.62184906
444,0,13714,0.642102897
445,0,13715,0.685486555
446,0,13716,0.683781266
447,0,13928,0.679370224
448,0,13929,0.59497875
449,0,13970,0.797519922
450,0,14012,0.732687294
451,0,14030,0.799830437
452,0,14031,0.80399555
453,0,14032,0.741791785
454,0,14092,0.790952742
455,0,14093,0.760930538
456,0,14094,0.813604712
457,0,14266,0.585291505
458,0,14452,0.825131357
459,0,14453,0.740249813
460,0,14501,0.825847745
461,0,14502,0.67753607
462,0,14503,0.778481543
463,0,14504,0.77797538
464,0,14505,0.776827693
465,0,14506,0.787046313
466,0,14507,0.720627904
467,0,14508,0.853401899
468,0,14665,0.810072124
469,0,14715,0.642751992
470,0,14716,0.752527058
471,0,14717,0.617752016
472,0,14739,0.568665683
473,0,14740,0.643605888
474,0,14741,0.70920068
475,0,14778,0.616728067
476,0,14886,0.327385128
477,0,14934,0.834968269
478,0,14935,0.435211509
479,0,14944,0.717161894
480,0,14946,0.446466118
481,0,14947,0.531674445
482,0,14948,0.50468123
483,0,15126,0.777647495
484,0,15127,0.678142667
485,0,15166,0.70157516
486,0,15244,0.413862288
487,0,15245,0.299885064
488,0,15246,0.344402522
489,0,15304,0.849064946
490,0,15305,0.80255723
491,0,15306,0.835765302
492,0,15307,0.702630877
493,0,15490,0.424578756
494,0,15495,0.781490624
495,0,15518,0.747984946
496,0,15610,0.837004721
497,0,15611,0.584092081
498,0,15612,0.782498598
499,0,15613,0.837979496
500,0,15614,0.798296332
501,0,15625,0.708627403
502,0,15717,0.516669512
503,0,15749,0.465892047
504,0,15782,0.684443772
505,0,15783,0.547381997
506,0,15801,0.788114071
507,0,15802,0.8204
508,0,15803,0.845641077
509,0,16001,0.522101283
510,0,16021,0.783791184
511,0,16122,0.51421237
512,0,16206,0.721881747
513,0,16296,0.702968061
514,0,16297,0.523770452
515,0,16433,0.363250345
516,0,16505,0.792425156
517,0,16614,0.790775239
518,0,16615,0.655031264
519,0,16616,0.794545174
520,0,16650,0.622759879
521,0,16710,0.587190926
522,0,16711,0.795014501
523,0,16803,0.591699541
524,0,16804,0.553068578
525,0,16805,0.511902153
526,0,16809,0.838502944
527,0,16810,0.639160335
528,0,16811,0.778116345
529,0,16812,0.450408846
530,0,16865,0.736455858
531,0,16866,0.686256766
532,0,16867,0.724966168
533,0,16870,0.750821888
534,0,16871,0.78293556
535,0,16883,0.787080407
536,0,16885,0.673019648
537,0,17015,0.759922206
538,0,17087,0.861829221
539,0,17088,0.801622927
540,0,17089,0.663441539
541,0,17246,0.770150721
542,0,17247,0.829187393
543,0,17333,0.758288622
544,0,17384,0.746688724
545,0,17550,0.846282899
546,0,17882,0.645373642
547,0,17883,0.845851243
548,0,17913,0.792008281
549,0,17914,0.75038594
550,0,17961,0.684429228
551,0,17965,0.772254407
552,0,18191,0.772539854
553,0,18192,0.805334151
554,0,18480,0.200089186
555,0,18494,0.875014305
556,0,18620,0.80094409
557,0,18677,0.806754947
558,0,18678,0.752934515
559,0,18842,0.695697486
560,0,18919,0.560179472
561,0,19021,0.811485469
562,0,19056,0.632528484
563,0,19075,0.570027053
564,0,19183,0.792664826
565,0,19184,0.733566165
566,0,19236,0.801891446
567,0,19237,0.822583497
568,0,19310,0.671046734
569,0,19455,0.81395787
570,0,19456,0.902306676
571,0,19457,0.791226685
572,0,19458,0.836316645
573,0,19459,0.705365121
574,0,19460,0.750320315
575,0,19461,0.835865617
576,0,19462,0.798884511
577,0,19463,0.826725245
